id,loan_pred,loan_prob
58645,1,0.9923
58646,0,0.0229
58647,1,0.5713
58648,0,0.0128
58649,0,0.0805
58650,1,0.942
58651,0,0.0028
58652,0,0.0106
58653,0,0.293
58654,0,0.024
58655,0,0.0311
58656,0,0.0982
58657,0,0.0192
58658,0,0.0115
58659,0,0.0284
58660,0,0.063
58661,0,0.014
58662,0,0.0029
58663,0,0.0365
58664,0,0.0074
58665,0,0.0429
58666,0,0.0132
58667,0,0.0074
58668,0,0.0092
58669,0,0.0117
58670,0,0.0026
58671,0,0.3248
58672,0,0.0065
58673,1,0.8955
58674,0,0.0016
58675,0,0.0175
58676,0,0.2055
58677,0,0.0286
58678,0,0.0087
58679,0,0.4795
58680,1,0.9597
58681,0,0.0253
58682,0,0.0032
58683,0,0.0134
58684,0,0.1965
58685,0,0.1439
58686,0,0.0233
58687,1,0.5078
58688,0,0.0393
58689,0,0.2455
58690,0,0.001
58691,0,0.0238
58692,0,0.0258
58693,0,0.009
58694,0,0.025
58695,1,0.9474
58696,0,0.0204
58697,0,0.0387
58698,0,0.0174
58699,0,0.018
58700,0,0.0076
58701,0,0.0106
58702,0,0.0273
58703,0,0.0925
58704,0,0.4213
58705,0,0.1278
58706,0,0.044
58707,0,0.019
58708,0,0.0275
58709,1,0.8257
58710,0,0.041
58711,1,0.8771
58712,0,0.0578
58713,0,0.0059
58714,0,0.0258
58715,0,0.007
58716,0,0.1617
58717,0,0.0166
58718,0,0.0966
58719,0,0.0096
58720,0,0.0017
58721,0,0.0558
58722,0,0.1414
58723,0,0.0252
58724,0,0.0187
58725,0,0.0186
58726,0,0.0191
58727,0,0.2083
58728,0,0.1397
58729,0,0.0108
58730,0,0.0043
58731,0,0.017
58732,0,0.1362
58733,0,0.0007
58734,0,0.0158
58735,0,0.0242
58736,0,0.0948
58737,0,0.052
58738,1,0.9803
58739,0,0.0601
58740,1,0.7667
58741,0,0.0369
58742,0,0.0049
58743,0,0.0246
58744,0,0.0083
58745,0,0.0113
58746,0,0.0618
58747,0,0.0065
58748,0,0.0239
58749,0,0.0219
58750,0,0.012
58751,0,0.046
58752,1,0.9127
58753,0,0.0057
58754,0,0.048
58755,0,0.1107
58756,0,0.008
58757,0,0.0254
58758,0,0.011
58759,0,0.0016
58760,0,0.0011
58761,0,0.0151
58762,0,0.0078
58763,1,0.9733
58764,0,0.0034
58765,0,0.0373
58766,0,0.015
58767,0,0.0198
58768,1,0.9414
58769,0,0.0072
58770,0,0.039
58771,0,0.0462
58772,0,0.0248
58773,0,0.0245
58774,0,0.0192
58775,1,0.9376
58776,1,0.9302
58777,0,0.0173
58778,0,0.0166
58779,0,0.0345
58780,0,0.0164
58781,0,0.0114
58782,0,0.0741
58783,0,0.0528
58784,0,0.0125
58785,0,0.0074
58786,0,0.0404
58787,0,0.0308
58788,0,0.129
58789,0,0.0391
58790,0,0.0304
58791,0,0.0957
58792,0,0.0013
58793,0,0.0598
58794,0,0.0127
58795,0,0.0365
58796,0,0.0279
58797,0,0.0242
58798,0,0.0849
58799,1,0.6588
58800,0,0.044
58801,0,0.0045
58802,1,0.8539
58803,0,0.2206
58804,0,0.4709
58805,1,0.8237
58806,0,0.0545
58807,0,0.0128
58808,0,0.0157
58809,1,0.9614
58810,1,0.8645
58811,0,0.0236
58812,0,0.04
58813,0,0.0306
58814,0,0.0216
58815,0,0.0105
58816,0,0.0138
58817,0,0.0023
58818,0,0.0483
58819,0,0.1533
58820,0,0.0038
58821,0,0.0325
58822,0,0.0061
58823,0,0.2177
58824,0,0.0461
58825,0,0.002
58826,0,0.0719
58827,0,0.0354
58828,0,0.0061
58829,0,0.1228
58830,0,0.0109
58831,0,0.1084
58832,0,0.0152
58833,0,0.0141
58834,0,0.0106
58835,1,0.9576
58836,0,0.0641
58837,0,0.1072
58838,0,0.0086
58839,0,0.0021
58840,0,0.0092
58841,1,0.895
58842,0,0.0035
58843,0,0.0311
58844,0,0.0484
58845,0,0.0359
58846,0,0.0009
58847,1,0.9103
58848,0,0.1273
58849,0,0.218
58850,0,0.0317
58851,0,0.061
58852,0,0.3294
58853,0,0.027
58854,1,0.9937
58855,0,0.3932
58856,0,0.0053
58857,0,0.074
58858,0,0.1944
58859,0,0.0157
58860,0,0.0054
58861,0,0.0398
58862,0,0.1799
58863,0,0.4797
58864,0,0.0165
58865,0,0.3783
58866,0,0.0137
58867,0,0.001
58868,0,0.0211
58869,0,0.0183
58870,0,0.2024
58871,0,0.0072
58872,0,0.0359
58873,0,0.0141
58874,1,0.9625
58875,0,0.0128
58876,0,0.02
58877,0,0.0049
58878,0,0.0213
58879,0,0.015
58880,0,0.0068
58881,0,0.0197
58882,0,0.0044
58883,0,0.0854
58884,0,0.1539
58885,0,0.0606
58886,0,0.0022
58887,1,0.9478
58888,0,0.2355
58889,1,0.9639
58890,0,0.0992
