sepal_length,sepal_width,petal_length,petal_width,species_pred,setosa,versicolor,virginica
5.5,2.5,4.0,1.3,versicolor,0.0077,0.9671,0.0252
6.9,3.1,5.1,2.3,virginica,0.014,0.0178,0.9682
5.1,2.5,3.0,1.1,versicolor,0.0326,0.9523,0.0151
4.4,2.9,,0.2,setosa,0.4996,0.4019,0.0985
5.9,3.0,5.1,1.8,virginica,0.0131,0.2037,0.7832
5.5,3.5,1.3,0.2,setosa,0.9588,0.024,0.0172
5.6,,3.6,1.3,versicolor,0.0357,0.9543,0.01
6.5,3.0,5.2,2.0,virginica,0.01,0.0304,0.9595
5.3,3.7,1.5,0.2,setosa,0.9655,0.0194,0.0151
5.1,3.4,1.5,,setosa,0.7666,0.1728,0.0607
6.1,2.8,4.0,1.3,versicolor,0.0123,0.9802,0.0075
5.5,2.4,3.7,1.0,versicolor,0.0128,0.9794,0.0078
7.7,3.0,6.1,2.3,virginica,0.0231,0.0236,0.9533
6.9,3.1,4.9,1.5,versicolor,0.0199,0.7122,0.2679
6.0,2.2,5.0,1.5,versicolor,0.0208,0.4956,0.4836
